"taxon","diff_(Intercept)","diff_RFIClass2MidRFI","diff_RFIClass3HighRFI","diff_robust_(Intercept)","diff_robust_RFIClass2MidRFI","diff_robust_RFIClass3HighRFI"
"PWY-5005",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5022",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5028",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5030",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5097",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5100",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5101",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5103",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5104",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5121",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5130",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5136",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5138",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5154",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5180",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5188",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5189",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5196",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5209",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5265",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5345",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5347",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5367",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5384",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5392",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5415",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5417",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5419",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5420",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5430",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5431",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5484",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5494",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5497",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5505",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5507",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5519",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5531",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-561",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5647",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5651",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5652",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5654",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5655",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5659",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5667",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5677",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5686",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5692",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5695",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5705",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5723",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5742",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5747",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5837",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5838",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5840",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5845",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5850",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5855",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5860",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5861",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5862",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5896",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5897",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5898",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5899",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5910",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5913",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5918",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5920",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5973",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-5989",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6071",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6084",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6121",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6122",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6123",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6124",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6125",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6126",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6141",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6143",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6147",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6148",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6151",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6160",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6163",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6165",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6167",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6168",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6182",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6185",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6210",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-622",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6263",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6269",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6270",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6277",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6292",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6293",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6305",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6307",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6313",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6317",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6344",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6349",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6350",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6353",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6383",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6385",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6386",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6387",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6396",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6397",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6404",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6435",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6467",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6470",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6471",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6478",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6486",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6501",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6527",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6531",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6562",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6565",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6588",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6595",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6606",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6607",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6608",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6609",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6612",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6628",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6630",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6641",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6654",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6700",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6703",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6731",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6748",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6749",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6803",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6808",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6823",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6837",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6859",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6873",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6891",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6895",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6897",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6901",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6902",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6906",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6922",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6936",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6961",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6969",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-6992",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7013",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-702",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7031",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7039",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7052",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7072",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7090",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7094",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7111",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7115",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7117",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7118",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7159",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7199",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7208",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7209",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7220",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7221",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7222",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7228",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7229",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7234",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7237",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7238",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-724",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7254",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7282",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7286",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7294",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7315",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7316",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7323",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7328",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7332",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7345",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7347",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7356",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7357",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7371",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7373",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7374",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7376",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7377",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7383",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7392",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7399",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7400",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7431",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7456",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7480",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7560",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7644",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7663",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7674",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7761",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7783",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7784",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7790",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7791",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7805",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7807",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7820",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7851",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7853",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7858",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7883",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7900",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7913",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7942",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"PWY-7953",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
